id,SurveyNum,Avrage_PR,Trans_lengthm,Lionfish_size_TL,Habitat_type,Lionfish_visibility,Lionfish_behaviour,Adj_behaviour,TOD,Num_attempts,Captured_bin,Mins_elapsed,Hrs_elapsed,Adj_min,Gamma_min,Capturer_name,Proportion_caught,Adj_Prop,Prop_remaining,Cap_Dives,Cap_removals,Cap_exp,Cap_affl,Cap_exp_new,Cap_exp_2821
686,5109,0.735442192,NA,12,Reef,EXP,hover,active,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hall and Wicksten,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
687,5109,0.735442192,NA,12,Reef,EXP,hover,active,midday,1,0,0.083333333,0.0014,0.083333333,0.083333333,Hall and Wicksten,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
798,5121,0.735442192,NA,10,Reef,NA,NA,NA,midday,1,0,0.083333333,0.00139,0.083333333,0.083333333,Hall and Wicksten,0.666666667,0.666666667,0.333333333,NA,NA,Low,Volunteer,Low,Low
887,5128,0.735442192,NA,20,Reef,NA,NA,NA,midday,1,0,0.083333333,0.00139,0.083333333,0.083333333,Hall and Wicksten,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
765,5118,0.735442192,NA,10,Reef,SH,hover,active,midday,1,0,0.083333333,0.00139,0.083333333,0.083333333,Kris and Kaitlin,0.25,0.25,0.75,NA,NA,Low,Volunteer,Low,Low
766,5118,0.735442192,NA,10,Reef,SH,hover,active,midday,1,0,1,0.01667,0.083333333,0.083333333,Kris and Kaitlin,0.25,0.25,0.75,NA,NA,Low,Volunteer,Low,Low
767,5118,0.735442192,NA,25,Reef,SH,hover,active,midday,1,0,1,0.01667,0.083333333,0.083333333,Kris and Kaitlin,0.25,0.25,0.75,NA,NA,Low,Volunteer,Low,Low
975,5303,0.397435641,NA,20,Reef,NA,NA,NA,Crepuscular,1,0,0.083333333,0.00139,0.083333333,0.083333333,Mark and Wes,0,0.001,1,NA,NA,Low,Volunteer,Low,Low
983,5314,0.397435641,NA,26,Reef,SH,swim,active,Crepuscular,1,0,0.083333333,0.00139,0.083333333,0.083333333,Mark and Wes,0.416666667,0.416666667,0.583333333,NA,NA,Low,Volunteer,Low,Low
372,2168,0.775,12.6,12,Sponge,SH,hover,active,midday,1,0,0.216,0.0036,0.216,0.216,Kristian,0.666666667,0.666666667,0.333333333,60,50,Low,Intern,Low,Low
353,2139,0.65,25,38,Reef,EXP,rest,rest,midday,1,0,0.234,0.0039,0.234,0.234,Ana,0,0.001,1,260,0,Low,Intern,Low,Low
380,2177,0.775,NA,35,Reef,SH,hover,active,midday,1,0,1.002,0.0167,0.5,0.5,Ana,0,0.001,1,260,0,Low,Intern,Low,Low
381,2177,0.775,NA,40,Reef,SH,hover,active,midday,1,0,1.002,0.0167,0.5,0.5,Ana,0,0.001,1,260,0,Low,Intern,Low,Low
1039,5422,0.485620915,NA,10,Reef,EXP,hover,active,midday,1,0,1,0.01667,1,1,Jason and Gaduken,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
717,5114,0.735442192,NA,10,Reef,EXP,hover,active,Crepuscular,1,0,1,0.0167,1,1,Kris and Kaitlin,0.285714286,0.285714286,0.714285714,NA,NA,Low,Volunteer,Low,Low
718,5114,0.735442192,NA,20,Reef,EXP,hover,active,Crepuscular,1,0,2,0.0333,1,1,Kris and Kaitlin,0.285714286,0.285714286,0.714285714,NA,NA,Low,Volunteer,Low,Low
719,5114,0.735442192,NA,25,Reef,EXP,hover,active,Crepuscular,1,0,5,0.0833,1,1,Kris and Kaitlin,0.285714286,0.285714286,0.714285714,NA,NA,Low,Volunteer,Low,Low
720,5114,0.735442192,NA,20,Reef,NA,swim,active,Crepuscular,1,0,1,0.0167,1,1,Kris and Kaitlin,0.285714286,0.285714286,0.714285714,NA,NA,Low,Volunteer,Low,Low
763,5118,0.735442192,NA,15,Reef,EXP,hover,active,midday,1,0,1,0.01667,1,1,Kris and Kaitlin,0.25,0.25,0.75,NA,NA,Low,Volunteer,Low,Low
964,5139,0.735442192,NA,25,Reef,EXP,hover,active,Crepuscular,1,0,1,0.01667,1,1,Kris and Kaitlin,0.5,0.5,0.5,NA,NA,Low,Volunteer,Low,Low
976,5309,0.397435641,NA,25,Reef,SH,rest,rest,midday,1,0,1,0.01667,1,1,Mark and Wes,0.416666667,0.416666667,0.583333333,NA,NA,Low,Volunteer,Low,Low
1070,5429,0.485620915,NA,30,Reef,EXP,hover,active,Crepuscular,1,0,1,0.01667,1,1,Mike and Amanda,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
1071,5429,0.485620915,NA,30,Reef,EXP,swim,active,Crepuscular,1,0,1,0.01667,1,1,Mike and Amanda,0.333333333,0.333333333,0.666666667,NA,NA,Low,Volunteer,Low,Low
